ID;WORD;VOCALIZED;WORD_TYPE;ANTO_SET;ANTO_SET_VOCALIZED
4829;رقة;رِقَّة;اسم;"خشونة";"خُشُونَة"
4830;رقد;رَقَدَ;فعل;"أرق;سهر";"أَرِقَ;سَهِرَ"
4831;رقد;رَقْد;اسم;"سهاد;أرق";"سُهَاد;أَرَق"
4832;رقع(الثوب);رَقَّعَ(الثَوْبَ);فعل;"مزّق;أفسد";"مَزَّقَ;أَفْسَدَ"
4833;رقود;رُقُود;اسم;"سهاد;أرق";"سُهَاد;أَرَق"
4834;رقي;رَقِيَ;فعل;"هبط;نزل;انحدر;";"هَبَطَ;نَزَلَ;انْحَدَرَ;"
4835;رقيق;رَقِيق;اسم;"غليظ;حرّ";"غَلِيظ;حُرّ"
4836;رقيق(الكلام);رَقِيق(الكَلاَمِ);اسم;"خشن;حوشيّ;غريب;";"خَشِن;حُوشِيّ;غَرِيب;"
4837;ركاكة;رَكَاكَة;اسم;"جزالة";"جَزَالَة"
4838;ركب;رَكِبَ;فعل;"ترجّل;رجل";"تَرَجَّلَ;رَجِلَ"
4839;ركب(الشيء في آخر أو عليه);رَكَّبَ(الشَيْءَ فِي آخَر أَو عَلَيْه);فعل;"نزع";"نَزَعَ"
4840;ركب(العناصر);رَكَّبَ(العَنَاصِرَ);فعل;"حلّل;فكّك";"حَلَّلَ;فَكَّكَ"
4841;ركد(الماء);رَكَدَ(المَاءُ);فعل;"جرى;سال";"جَرَى;سَالَ"
4842;ركن(إليه);رَكَنَ(إِلَيْهِ);فعل;"احترس(منه);حذر;توقّى;تجنّب";"احْتَرَسَ(مِنْهُ);حَذِرَ;تَوَقَّى;تَجَنَّبَ"
4843;ركيك;رَكِيك;اسم;"فصيح;جزل";"فَصِيح;جَزْل"
4844;رمى(الشيي);رَمَى(الشَيْيَ);فعل;"التقط;لمّ";"الْتَقَطَ;لَمَّ"
4845;رمق;رَمَقَ;فعل;"حدج;حدّق";"حَدَجَ;حَدَّقَ"
4846;رمة(برمته);رُمَّة(بِرُمَّتِهِ);اسم;"مفرد(بمفرده)";"مُفْرَد(بِمُفْرَدِهِ)"
4847;رنم;رَنَّمَ;فعل;"ناح";"نَاحَ"
4848;رواح;رَوَاح;اسم;"غدوّ;ذهاب";"غُدُوّ;ذَهَاب"
4849;روح;رُوح;اسم;"بدن;جسم";"بَدَن;جِسْم"
4850;روح(عن نفسه);رَوَّحَ(عَنْ نَفْسِهِ);فعل;"تضجّر;تبرّم";"تَضَجَّرَ;تَبَرَّمَ"
4851;روحة;رَوْحَة;اسم;"جيئة;غدوة";"جِيئَة;غُدْوَة"
4852;روض(الحيوان);رَوَّضَ(الحَيَوَانَ);فعل;"أجمّ";"أَجَمَّ"
4853;ريب;رَيْب;اسم;"يقين";"يَقِين"
4854;روية;رَوِيَّة;اسم;"طيش;جهل";"طَيْش;جَهْل"
4855;زائد;زَائِد;اسم;"ناقص";"نَاقِص"
4856;زائد(من الحروف);زَائِد(مِنَ الحُرُوفِ);اسم;"أصليّ";"أَصْلِيّ"
4857;زائل;زَائِل;اسم;"أبديّ;خالد;سرمديّ;دائم;مستمرّ";"أَبَدِيّ;خَالِد;سَرْمَدِيّ;دَائِم;مُسْتَمِرّ"
4858;زاد;زَادَ;فعل;"نقص;أنقص";"نَقُصَ;أَنْقَصَ"
4859;زافر;زَافِر;اسم;"شاهق";"شَاهِق"
4860;زال;زَالَ;فعل;"بقي;دام;استمرّ";"بَقِيَ;دَامَ;اسْتَمَرَّ"
4861;زاني;زَانِي;اسم;"عفيف";"عَفِيف"
4862;زاهد;زَاهِد;اسم;"مقبل(على الشيء);راغب(فيه)";"مُقْبِل(عَلَى الشَيْءِ);رَاغِب(فِيهِ)"
4863;زايد;زَايَدَ;فعل;"ناقص";"نَاقَصَ"
4864;زحل;زَحْل;اسم;"استقرار";"اسْتِقْرَار"
4865;زحل;زَحَلَ;فعل;"استقرّ";"اسْتَقَرَّ"
4866;زراية;زِرَايَة;اسم;"حسن;أناقة";"حُسْن;أَنَاقَة"
4867;زري;زَرِيّ;اسم;"أنيق";"أَنِيق"
4868;زعزع;زَعْزَعَ;فعل;"ثبّت;رسّخ";"ثَبَّتَ;رَسَّخَ"
4869;زعزعة;زَعْزَعَة;اسم;"ثبات";"ثَبَات"
4870;زغل;زَغَل;اسم;"استقامة";"اسْتِقَامَة"
4871;زغلي;زُغْلِيّ;اسم;"مستقيم";"مُستَقِيم"
4872;زفر;زَفَرَ;فعل;"شهق";"شَهَقَ"
4873;زفر;زُفَر;اسم;"جبان";"جَبَان"
4874;زفرة;زَفْرَة;اسم;"شهقة";"شَهْقَة"
4875;زفير;زَفِير;اسم;"شهيق";"شَهِيق"
4876;زك;زَكّ;اسم;"سمين";"سَمِين"
4877;زكة;زُكَّة;اسم;"فرح";"فَرَح"
4878;زكر;زَكَّرَ;فعل;"أفرغ";"أَفْرَغَ"
4879;زكر(الإناء);زَكَرَ(الإِنَاء);فعل;"أفرغ";"أَفْرَغَ"
4880;زكن;زَكَّنَ;فعل;"تأكّد;تيقّن";"تَأَكَّدَ;تَيَقَّنَ"
4881;زكن;زَكِن;اسم;"أحمق";"أَحْمَق"
4882;زلال(من الماء);زُلاَل(مِنَ المَاءِ);اسم;"آسن";"آسِن"
4883;زل -ت(قدمه);زَلَّ -ت(قَدَمُهُ);فعل;"استقرّ -ت";"اسْتَقَرَّ -ت"
4884;زلخ;زَلَخ;اسم;"ضعف;هزال";"ضُعْف;هُزَال"
4885;زلخ;َزَلَّخَ;فعل;"خشن";"خَشَنَ"
4886;زلخ;زَلِخَ;فعل;"ضعف";"ضَعُفَ"
4887;زلزل;زَلْزَلَ;فعل;"ثبّت;وطد";"ثَبَّتَ;وَطَدَ"
4888;زلف(إليه);زَلَفَ(إِلَيْهِ);فعل;"ابتعد(عنه)";"ابْتَعَدَ(عَنْهُ)"
4889;زلف(الشيء);زَلَّفَ(الشَيْءَ);فعل;"أبعد";"أَبْعَدَ"
4890;زلق;زَلِق;اسم;"حليم";"حَلِيم"
4891;زمارة;زَمَارَة;اسم;"مروءة;نخوة";"مُرُوءَة;نَخْوَة"
4892;زماع;زَمَاع;اسم;"بطء;بلادة";"بُطْء;بَلاَدَة"
4893;زمت;زَمْت;اسم;"حمق";"حُمْق"
4894;زمت;زَمُتَ;فعل;"حمق";"حَمُقَ"
4895;زمر;زَمِر;اسم;"حمس";"حَمِس"
4896;زمر;زَمَر;اسم;"نخوة";"نَخْوَة"
4897;زمرا;زُمَرًا;اسم;"فرادى";"فُرَادَى"
4898;زمر(فلان);زَمِرَ(فُلاَن);فعل;"جبن;تقاعس";"جَبُنَ;تَقَاعَسَ"
4899;زمع;زَمْع;اسم;"بطء;تمهّل;بلادة;";"بُطْء;تَمَهُّل;بَلاَدَة;"
4900;زمع(في مشيه);زَمِعَ(فِي مَشْيِهِ);فعل;"أبطأ;تمهّل";"أَبْطَأَ;تَمَهَّلَ"
4901;زمعي;زَمْعِيّ;اسم;"حليم;كريم";"حَلِيم;كَرِيم"
4902;زمك;زَمِكَ;فعل;"حلم";"حَلُمَ"
4903;زمك;زَمَك;اسم;"حلم";"حِلْم"
4904;زمكة;زَمَكَة;اسم;"حليم;وقور";"حَلِيم;وَقُور"
4905;زمل;زَمِل;اسم;"قويّ;شجاع";"قَوِيّ;شُجَاع"
4906;زمل;زَمَّلَ;فعل;"كشف;أظهر";"كَشَفَ;أَظْهَرَ"
4907;زمه;زَمَه;اسم;"ضعف";"ضُعْف"
4908;زمه(الحر);زَمِهَ(الحَرّ);فعل;"ضعف";"ضَعُفَ"
4909;زمهرير;زَمْهَرِير;اسم;"هاجرة;حرّ";"هَاجِرَة;حَرّ"
4910;زموع;زَمُوع;اسم;"بطيء;متمهّل;بليد;";"بَطِيء;مَتَمَهِّل;بَلِيد;"
4911;زموع;زُمُوع;اسم;"بطء;تمهّل;بلادة;";"بُطْء;تَمَهَّل;بَلاَدَة;"
4912;زميت;زَمِّيت;اسم;"أحمق";"أَحْمَق"
4913;زنى;زَنَى;فعل;"عفّ";"عَفَّ"
4914;زنا;زِنَا;اسم;"عفاف";"عَفَاف"
4915;زنترة;زَنْتَرَة;اسم;"سعة";"سَعَة"
4916;وار -زند;وَارٍ -زَنْد;اسم;"خاب -زند";"خَابٍ -زَنْد"
4917;زنق;زَنَقَ;فعل;"جاد;تكرّم";"جَادَ;تَكَرَّمَ"
4918;زنق;زَنَّقَ;فعل;"جاد;تكرّم";"جَادَ;تَكَرَّمَ"
4919;زنيم;زَنِيم;اسم;"كريم";"كَرِيم"
4920;زها;زَهَا;فعل;"تواضع";"تَوَاضَعَ"
4921;زهادة;زَهَادَة;اسم;"رغبة(في الشيء);إقبال(عليه)";"رَغْبَة(فِي الشَيْءِ);إِقْبَال(عَلَيْهِ)"
4922;زهد;زُهْد;اسم;"إقبال(على الشيء);رغبة(فيه)";"إِقْبَال(عَلَى الشَيْءِ);رَغْبَة(فِيهِ)"
4923;زهد(في الشيء);زَهِدَ(فِي الشَيْءِ);فعل;"أقبل(عليه);رغب(فيه)";"أَقْبَلَ(عَلَيْهِ);رَغِبَ(فِيهِ)"
4924;زهق(الباطل);زُهِقَ(البَاطُلُ);فعل;"بان(الحقّ)";"بَانَ(الحَقُّ)"
4925;زهل;زَهَل;اسم;"خشونة";"خُشُونَة"
4926;زهل(الشيء);زَهِلَ(الشَيْءُ);فعل;"خشن";"خَشُنَ"
4927;زهلول;زَهْلُول;اسم;"خشن";"خَشِن"
4928;زهم;زَهَم;اسم;"ضعف;هزال;نحول;";"ضُعْف;هُزَال;نُحُول;"
4929;زهم;زَهِمَ;فعل;"ضعف;نحل";"ضَعُفَ;نَحُلُ"
4930;زهو;زَهْو;اسم;"تواضع";"تَوَاضُع"
4931;زهوق;زَهُوق;اسم;"حقّ";"حَقّ"
4932;زهيد;زَهِيد;اسم;"غالي;باهظ";"غَالي;بَاهِظ"
4933;زواج;زَواج;اسم;"عزوبة;تبتّل;طلاق";"عُزُوبَة;تَبَتُّل;طَلاَق"
4934;زوال;زَوَال;اسم;"أبد;خلود;بقاء;دوام";"أَبَد;خُلُود;بَقَاء;دَوَام"
4935;زور;زَوَّرَ;فعل;"صدق";"صَدَقَ"
4936;زور;زُور;اسم;"صدق;حقّ";"صِدْق;حَقّ"
4937;زيادة;زِيَادَة;اسم;"نقص;إنقاص;نقصان";"نَقْص;إِنْقَاص;نُقْصَان"
4938;زين;زَيَّنَ;فعل;"قبّح";"قَبَّحَ"
4939;ساء;سَاءَ;فعل;"نعم";"نِعْمَ"
4940;سائر(نهارا);سَائِر(نَهَارًا);اسم;"ساري(ليلا)";"سَارِي(لَيْلاً)"
4941;سائل;سَائِل;اسم;"جامد";"جَامِد"
4942;سائل;سَائِل;اسم;"مجيب";"مُجِيب"
4943;سؤال;سُؤَال;اسم;"جواب;ردّ";"جَوَاب;رَدّ"
4944;ساءل;سَاءَلَ;فعل;"أجاب;جاوب";"أَجَابَ;جَاوَبَ"
4945;سآمة;سَآمَة;اسم;"تسلية;سلو";"تَسْلِيَة;سُلُو"
4946;ساء;سَاءَ;فعل;"أفرح;سرّ";"أَفْرَحَ;سَرَّ"
4947;ساب (الشيء);سَابَ (الشَّيْءَ);فعل;"ضبط";"ضَبَطَ"
4948;ساتر;سَاتِر;اسم;"كاشف";"كَاشِف"
4949;ساخر;سَاخِر;اسم;"مادح";"مَادِح"
4950;ساخط;سَاخِط;اسم;"راضي";"رَاضِي"
4951;ساخن;سَاخِن;اسم;"بارد";"بَارِد"
4952;سؤدد;سُؤدَد;اسم;"حقارة";"حَقَارَة"
4953;سار;سَارَ;فعل;"توقّف";"تَوَقَّفَ"
4954;سارع;سَارَعَ;فعل;"أبطأ;تمهّل";"أَبْطَأَ;تَمَهَّلَ"
4955;سارق;سَارِق;اسم;"أمين";"أَمِين"
4956;ساري;سَارِي;اسم;"سائر";"سَائِر"
4957;ساطع;سَاطِع;اسم;"خابي;خامت";"خَابِي;خَامِت"
4958;ساعد;سَاعَدَ;فعل;"خذل";"خَذَلَ"
4959;ساعف;سَاعِف;اسم;"خاذل";"خَاذِل"
4960;سافر;سَافَرَ;فعل;"حلّ;أقام;مكث";"حَلَّ;أَقَامَ;مَكَثَ"
4961;سافل;سَافِل;اسم;"أبيّ;مترفّع";"أَبِيّ;مُتَرَفِّع"
4962;ساقط;سَاقِط;اسم;"مرتفع;فائز";"مُرْتَفِع;فَائِز"
4963;ساقطة (من النساء);سَاقِطَة (مِنَ النِسَاء);اسم;"شريفة;فاضلة";"شَرِيفَة;فَاضِلَة"
4964;ساكت;سَاكِت;اسم;"متكلم";"مُتَكَلِم"
4965;ساكن;سَاكِن;اسم;"راجل;مهاجر;مغادر;محرّك;متحرّك";"رَاجِل;مُهَاجِر;مُغَادِر;مُحَرِّك;مُتَحَرِّك"
4966;سال;سَالَ;فعل;"جمد";"جَمَدَ"
4967;سأل;سَأَلَ;فعل;"أجاب;ردّ;جاوب";"أَجَابَ;رَدَّ;جَاوَبَ"
4968;سالخ;سَالِخ;اسم;"ملصق";"مُلْصِق"
4969;سالم;سَالَمَ;فعل;"حارب";"حَارَبَ"
4970;سالم;سَالِم;اسم;"معتلّ;مريض";"مُعْتَلّ;مَرِيض"
4971;سالي;سَالِي;اسم;"متضجّر;متبرّم";"مُتَضَجِّر;مُتَبَرِّم"
4972;سئم;سَئِمَ;فعل;"تسلّى;تلهّى";"تَسَلَّى;تَلَهَّى"
4973;سأم;سَأْم;اسم;"سلو;سلوان;لهو;تلهّي";"سُلُو;سُلْوَان;لَهْو;تَلَهِّي"
4974;سآمة;سَآمَة;اسم;"سلوّ;تسلية;لهو";"سُلُوّ;تَسْلِيَة;لَهْو"
4975;سامح;سَامَحَ;فعل;"عاقب;قاصص";"عَاقَبَ;قَاصَصَ"
4976;سامع;سَامِع;اسم;"أطرش";"أَطْرَش"
4977;سامق;سَامِق;اسم;"منخفض;واطئ;هابط";"مُنْخَفِض;وَاطِئ;هَابِط"
4978;سامي;سَامِي;اسم;"منحطّ;منخفض";"مُنْحَطّ;مُنْخَفِض"
4979;سانح;سَانِح;اسم;"بارح";"بَارِح"
4980;ساند;سَانَدَ;فعل;"خذل;تخلّى (عن)";"خَذَلَ;تَخَلَّى (عَن)"
4981;ساهر;سَاهِر;اسم;"نائم";"نَائِم"
4982;ساهي;سَاهِي;اسم;"متذكّر;متنبّه";"مُتَذَكِّر;مُتَنَبِّه"
4983;ساوى;سَاوَى;فعل;"ظلم;جار;أجحف";"ظَلَمَ;جَارَ;أَجْحَفَ"
4984;ساير;سَايَرَ;فعل;"جفى";"جَفَى"
4985;سئيم;سَئِيم;اسم;"سالي";"سَالِي"
4986;سابق;سَابِق;اسم;"متأخّر;لاحق";"مُتَأَخِّر;لاَحِق"
4987;سبط (من الشعر);سَبْط (مِن الشَّعْرِ);اسم;"جعد";"جَعْد"
4988;سبق;سَبَقَ;فعل;"تأخّر;لحق";"تَأَخَّرَ;لَحِقَ"
4989;سبق;سَبَّقَ;فعل;"أخّر";"أَخَّرَ"
4990;سبل(الشيء);سَبَّلَ(الشَّيءَ);فعل;"رفع";"رَفَعَ"
4991;ستر;سَتَرَ;فعل;"كشف;فضح";"كَشَفَ;فَضَحَ"
4992;سترة;سُتْرَة;اسم;"فضيحة";"فَضِيحَة"
4993;سجا (الشيء);سَجَا (الشَّيْءَ);فعل;"كشف;أظهر";"كَشَفَ;أَظْهَرَ"
4994;سجان;سَجَّان;اسم;"محرّر;مطلق";"مُحَرِّر;مُطْلِق"
4995;سجم;سَجَّمَ;فعل;"حبس";"حَبَسَ"
4996;سجم (الدمع);سَجَمَ (الدَّمْعُ);فعل;"انحبس";"انْحَبَسَ"
4997;سجن;سَجَنَ;فعل;"خلّى;حرّر;أطلق (السّراح)";"خَلَّى;حَرَّرَ;أَطْلَقَ (السَّرَاح)"
4998;سجو;سَجْو;اسم;"كشف";"كَشْف"
4999;سجين;سَجِين;اسم;"طليق;حرّ";"طَلِيق;حًرّ"
5000;سحام;سُحَام;اسم;"بياض";"بَيَاض"
5001;سحت;سُحْت;اسم;"حلال";"حَلاَل"
5002;سحم;سَحَم;اسم;"بياض";"بَيَاض"
5003;سحم;سَحَّمَ;فعل;"بيّض";"بَيَّضَ"
5004;سحم;سَحِمَ;فعل;"ابيضّ";"ابْيَضَّ"
5005;سحمة;سُحْمَة;اسم;"بياض";"بَيَاض"
5006;سحيق;سَحِيق;اسم;"قريب";"قَرِيب"
5007;سخا;سَخَا;فعل;"بخل;حرص;شحّ;قتّر;أمسك";"بَخُلَ;حَرِصَ;شَحَّ;قَتَّرَ;أَمْسَكَ"
5008;سخاء;سَخَاء;اسم;"حرص;شحّ;تقتير;إمساك";"حِرْص;شِحّ;تَقْتِير;إِمْسَاك"
5009;سخر;سَخِرَ;فعل;"مدح";"مَدَحَ"
5010;سخرية;سُخْرِيَة;اسم;"مديح";"مَدِيح"
5011;سخط;سَخِطَ;فعل;"رضي";"رَضِيَ"
5012;سخط;سُخْط;اسم;"رضى";"رِضَى"
5013;سخم;سَخَم;اسم;"بياض";"بَيَاض"
5014;سخم;سَخَّمَ;فعل;"بيّض";"بَيَّضَ"
5015;سخمة;سُخْمَة;اسم;"بياض";"بَيَاض"
5016;سخن;سَخَنَ;فعل;"برد";"بَرَدَ"
5017;سخن;سَخَّنَ;فعل;"برّد";"بَرَّدَ"
5018;سخن;سُخْن;اسم;"بارد";"بَارِد"
5019;سخونة;سُخُونَة;اسم;"برودة";"بُرُودَة"
5020;سخي;سَخِيّ;اسم;"بخيل;شحيح;ممسك;مقتّر;حريص";"بَخِيل;شَحِيح;مُمْسِك;مُقَتِّر;حَرِيص"
5021;سد;سَدَّ;فعل;"فتح";"فَتَحَ"
5022;سدل -ت (المرأة) شعرها);سَدَلَ -ت (المَرْأَة) شَعْرَهَا);فعل;"رفع -ت";"رَفَعَ -ت"
5023;سديد (من الرأي);سَدَيد (مِنَ الرَّأْيِ);اسم;"ضعيف;خاطئ";"ضَعِيف;خَاطِئ"
5024;سر;سَرَّ;فعل;"أحزن";"أَحْزَنَ"
5025;سر;سُرَّ;فعل;"حزن";"حَزِنَ"
5026;سر;سِرّ;اسم;"جهر;علانية";"جَهْر;عَلاَنِيَة"
5027;سرى (في الليل);سَرَى (فِي اللَّيل);فعل;"سار (في النّهار)";"سَارَ (فِي النَّهَار)"
5028;سرى;سَرَّى;فعل;"غمّ";"غَمَّ"
5029;سراء;سَرَّاء;اسم;"ضرّاء";"ضَرَّاء"
5030;سراة (القوم);سُرَاة (القَوْمِ);اسم;"حثالة;أوباش";"حُثَالَة;أَوْبَاش"
5031;سراح;سَرَاح;اسم;"أسر";"أَسْر"
5032;سرح (شعره);سَرَّحَ (شَعْرَهُ);فعل;"شبك;شعّث";"شَبَكَ;شَعَّثَ"
5033;سرح (طرفه);سَرَّحَ (طَرْفَهُ);فعل;"غضّ";"غَضَّ"
5034;سرع;سَرْع;اسم;"بطء;تأخير";"بُطْء;تَأْخِير"
5035;سرع;سَرَعَ;فعل;"ختم";"خَتَمَ"
5036;سرعان;سُرْعَان;اسم;"بطآن";"بُطْآن"
5037;سرعة;سُرْعَة;اسم;"بطء;تاخير";"بُطْء;تَاْخِير"
5038;سرق;سَرَقَ;فعل;"أمن";"أَمِنَ"
5039;سرقة;سَرِقَة;اسم;"أمانة";"أَمَانَة"
5040;سرمدي;سَرْمَدِيّ;اسم;"فاني;زائل";"فَانِي;زَائِل"
5041;سر;سَرَّ;فعل;"ساء";"سَاءَ"
5042;سرور;سُرُور;اسم;"حزن;أسى";"حُزْن;أَسَى"
5043;سروع;سُرُوع;اسم;"بطء;تأخير";"بُطْء;تَأْخِير"
5044;سري;سَرِيّ;اسم;"حقير";"حَقِير"
5045;سرياح (من الرجال);سِرْيَاح (مِنَ الرِّجَال);اسم;"قصير";"قَصِير"
5046;سريس;سَرِيس;اسم;"مبذّر;مسرف";"مُبَذِّر;مُسْرِف"
5047;سريع;سَرِيع;اسم;"بطيء";"بَطِيء"
5048;سطح (الشيء);سَطَّحَ (الشَّيْءَ);فعل;"طوى;ثنى";"طَوَى;ثَنَى"
5049;سطر (الكلام);سَطَّرَ (الكَلاَمَ);فعل;"محى;شطب";"مَحَى;شَطَبَ"
5050;سطع;سَطْع;اسم;"خبوّ";"خُبُوّ"
5051;سطع (النور);سَطَعَ (النُّور);فعل;"خبا";"خَبَا"
5052;سطوع;سُطُوع;اسم;"خبوّ";"خَبْوّ"
5053;سطيح;سَطِيح;اسم;"مثنيّ;مطويّ";"مَثْنِيّ;مَطْوِيّ"
5054;سعادة;سَعَادَة;اسم;"شقاء;حزن;تعاسة";"شَقَاء;حُزْن;تَعَاسَة"
5055;سعار;سُعَار;اسم;"إخماد;شبع";"إِخْمَاد;شَبَع"
5056;سعد;سَعِدَ;فعل;"شقي";"شَقِيَ"
5057;سعد;سَعْد;اسم;"شقاء;تعاسة;نحس";"شَقَاء;تَعَاسَة;نَحْس"
5058;سعر (النار);سَعَرَ (النَّارَ);فعل;"أطفأ;أخمد";"أَطْفَأَ;أَخْمَدَ"
5059;سعر;سَعَّرَ;فعل;"أطفأ;أخمد";"أَطْفَأَ;أَخْمَدَ"
5060;سعر;سُعْر;اسم;"برد;شبع";"بَرْد;شَبَع"
5061;سعف;سَعَفَ;فعل;"خذل";"خَذَلَ"
5062;سعود;سُعُود;اسم;"نحس;شقاء";"نَحْس;شَقَاء"
5063;سعيد;سَعِيد;اسم;"شقيّ;تعيس";"شَقِيّ;تَعِيس"
5064;سغاب;سَغَاب;اسم;"شبع";"شَبَع"
5065;سغب;سَغَب;اسم;"تخمة;بشم;شبع";"تُخْمَة;بَشَم;شَبَع"
5066;سغب;سَغِبَ;فعل;"بشم;أتخم;شبع";"بَشِمَ;أُتْخِمَ;شَبِعَ"
5067;سفاسف (الأمور);سَفَاسِف (الأُمُور);اسم;"علياء";"عَلْيَاء"
5068;سفالة;سَفَالَة;اسم;"ترفّع;تأبّه";"تَرَفُّع;تَأَبُّه"
5069;سفاهة;سَفَاهَة;اسم;"حلم;تروّي;تعقّل";"حِلْم;تَرَوِّي;تَعَقُّل"
5070;سفح;سَفُح;اسم;"قمّة;أوج;ذروة";"قِمَّة;أَوْج;ذُرْوَة"
5071;سفر;سَفَر;اسم;"إقامة;مكوث";"إِقَامَة;مُكُوث"
5072;سفر (الشيء);سَفَرَ (الشَّيْءُ);فعل;"غمض;خفي;غطّى";"غَمُضَ;خَفِيَ;غَطَّى"
5073;سفر -ت(المرأة);سَفَرَ -ت(المَرْأَةُ);فعل;"تحجّب -ت;تبرقع -ت";"تَحَجَّبَ -ت;تَبَرْقَعَ -ت"
5074;سفل;سَفَلَ;فعل;"أبه;ترفّع;علا";"أَبِهَ;تَرَفَّعَ;عَلاَ"
5075;سفل;سَفِلَ;فعل;"ترفّع;أبه;تنزّه;تأبّه";"تَرَفَّعَ;أَبِهَ;تَنَزَّهَ;تَأَبَّهَ"
5076;سفلة (الناس);سَفَلة (النَّاس);اسم;"أفاضل;أعيان;أماثل;صفوة;سراة";"أَفَاضِل;أَعْيَان;أَمَاثِل;صَفْوَة;سَرَاة"
5077;سفه;سَفُهَ;فعل;"حلم";"حَلُمَ"
5078;سفه;سَفَه;اسم;"حلم";"حِلْم"
5079;سفور;سُفُور;اسم;"تحجّب";"تَحَجُّب"
5080;سفول;سُفُول;اسم;"عظمة;أبّهة";"عَظَمَة;أُبَّهَة"
5081;سفولة;سُفُولَة;اسم;"علو";"عُلُو"
5082;سفيه;سَفِيه;اسم;"حليم;حكيم;عاقل;عفيف";"حَلِيم;حَكِيم;عَاقِل;عَفِيف"
5083;سقام;سَقَام;اسم;"برء;إبلال;شفاء";"بُرْء;إِبْلاَل;شِفَاء"
5084;سقاية;سِقَايَة;اسم;"تجفيف";"تَجْفِيف"
5085;سقط;سَقَطَ;فعل;"علا;ارتفع;فاز";"عَلاَ;ارْتَفَعَ;فَازَ"
5086;سقط (من المتاع);سَقَط (مِنَ المَتَاع);اسم;"جيّد;أفضل";"جِيِّد;أَفْضَل"
5087;سقم;سَقَم;اسم;"برء;شفاء;إبلال";"بُرْء;شِفَاء;إِبْلاَل"
5088;سقم;سُقْم;اسم;"برء;إبلال;شفاء";"بُرْء;إِبْلاَل;شِفَاء"
5089;سقم;سَقِمَ;فعل;"برؤ;شفي;بلّ";"بَرُؤَ;شَفِيَ;بَلَّ"
5090;سقوط;سُقُوط;اسم;"ارتفاع;علوّ;فوز";"ارْتِفَاع;عُلُوّ;فَوْز"
5091;سقي;سَقْي;اسم;"تجفيف";"تَجْفِيف"
5092;سقي(من الأرض);سَقِي(مِنَ الأَرْض);اسم;"بعل";"بَعْل"
5093;سقيم;سَقِيم;اسم;"صحيح";"صَحِيح"
5094;سكت;سَكَتَ;فعل;"تكلّم";"تَكَلَّمَ"
5095;سكت;سَكَّتَ;فعل;"كلّم";"كَلَّمَ"
5096;سكتة;سَكْتَة;اسم;"تكلّم";"تَكَلُّم"
5097;سكن;سَكَنَ;فعل;"هجر;رحل;غادر;تحرّك";"هَجَرَ;رَحَل;غَادَر;تَحَرَّكَ"
5098;سكن;سَكَن;اسم;"ترحال;رحيل;هجرة;مغادرة";"تَرْحَال;رَحِيل;هِجْرِة;مُغَادَرَة"
5099;سكن (الأمر);سَكَّنَ (الأَمْرَ);فعل;"هيّج;أثار;حرّك";"هَيَّجَ;أَثَارَ;حَرَّكَ"
5100;سكوت;سُكُوت;اسم;"كلام";"كَلاَم"
5101;سكون;سُكُون;اسم;"حركة;ثورة;هياج";"حَرَكَة;ثَوْرَة;هِيَاج"
5102;سكينة;سَكِينَة;اسم;"اضطراب;قلق";"اضْطِرَاب;قَلَق"
5103;سل (السيف);سَلَّ (السَّيْفَ);فعل;"أغمد";"أَغْمَدَ"
5104;سلام;سَلاَم;اسم;"حرب;قتال";"حَرْب;قِتَال"
5105;سلامة;سَلاَمَة;اسم;"هلاك";"هَلاَك"
5106;سلبية;سَلْبِيَّة;اسم;"إيجابيّة";"إِيجَابِيَّة"
5107;سلخ;سَلْخ;اسم;"إلصاق";"إِلْصَاق"
5108;سلخ (الشيء);سَلَخَ (الشَّيْءَ);فعل;"ألصق";"أَلْصَقَ"
5109;سلخ (الشيء عن الآخر);سَلَخَ (الشَّيْءَ عَنِ الآخِر);فعل;"ألصق";"أَلْصَقَ"
5110;سلس;سَلَس;اسم;"نمرّد";"نَمَرُّد"
5111;سلس;سَلِسَ;فعل;"تمرّد";"تَمَرَّدَ"
5112;سلس;سَلِس;اسم;"متمرّد";"مُتَمَرِّد"
5113;سلسال (من الماء);سَلْسَال (مِنَ المَاءِ);اسم;"راكد;آسن";"رَاكِد;آسن"
5114;سلسبيل;سَلْسَبِيل;اسم;"آسن";"آسِن"
5115;سلم;سِلْم;اسم;"حرب;قتال";"حَرْب;قِتَال"
5116;سلو;سُلُوّ;اسم;"ضجر;سأم;ملل;وحشة";"ضَجَر;سَأَم;مَلَل;وَحْشَة"
5117;سليط (اللسان);سَلِيط (اللِّسَان);اسم;"عفيف";"عِفَيف"
5118;سليم;سَلِيم;اسم;"صحيح;مريض";"صَحِيح;مَرِيض"
5119;سليم (العاقبة);سَلِيم (العَاقِبَة);اسم;"وخيم";"وَخِيم"
5120;سم;سُمّ;اسم;"ترياق";"تِرْيَاق"
5121;سما;سَمَا;فعل;"هبط;سفل;سقط";"هَبَطَ;سَفَلَ;سَقَطَ"
5122;سماء;سَمَاء;اسم;"أرض";"أَرْض"
5123;سماح;سَمَاح;اسم;"منع;صدّ;حجب;عقاب;معاقبة";"مَنْع;صَدّ;حَجْب;عِقَاب;مُعَاقَبَة"
5124;سماحة;سَمَاحَة;اسم;"طمع;جشع";"طَمَع;جَشَع"
